stop_id,stop_name,stop_lat,stop_lon,stop_code,zone_id,stop_timezone,stop_url,level_id,parent_station
1201,Arriurdina / Júndiz,42.834811,-2.734888,1201,1,Europe/Madrid,,,
1084,Madrid 36,42.857111,-2.659247,1084,1,Europe/Madrid,,,
1059,Pedro Asúa 12,42.847599,-2.690602,1059,1,Europe/Madrid,,,
1154,Castilla 9,42.843762,-2.679193,1154,1,Europe/Madrid,,,
1183,8 de marzo 10,42.854890,-2.654590,1183,1,Europe/Madrid,,,
1325,Naciones Unidas / Salvador Dalí,42.848486,-2.705075,1325,1,Europe/Madrid,,,
1355,Seminario,42.851399,-2.688886,1355,1,Europe/Madrid,,,
1190,Alibarra / Bekolarra,42.860789,-2.718366,1190,1,Europe/Madrid,,,
1233,Bulevar Salburua / La Valletta,42.845296,-2.649596,1233,1,Europe/Madrid,,,
1175,Av. Los Huetos / Ali,42.853648,-2.699416,1175,1,Europe/Madrid,,,
1010,Av. Santiago / Sanidad,42.847054,-2.666332,1010,1,Europe/Madrid,,,
1079,Jacinto Benavente / Florida,42.842029,-2.658296,1079,1,Europe/Madrid,,,
1032,Nieves Cano / Comandante Izarduy,42.838483,-2.669024,1032,1,Europe/Madrid,,,
1268,Av. Los Huetos / Mercedes,42.856688,-2.714014,1268,1,Europe/Madrid,,,
1078,Esmaltaciones,42.835582,-2.659910,1078,1,Europe/Madrid,,,
1056,Castillo Fontecha / Castilla,42.840714,-2.691179,1056,1,Europe/Madrid,,,
1262,Antonio Machado 17,42.859090,-2.697170,1262,1,Europe/Madrid,,,
1017,Av. Gasteiz / Bastiturri,42.847810,-2.681558,1017,1,Europe/Madrid,,,
1343,Antonio Amat 47,42.838158,-2.648196,1343,1,Europe/Madrid,,,
1179,Prado,42.845945,-2.674669,1179,1,Europe/Madrid,,,
1334,Bake kalea  /  Santiago Ospitalea  -  Paz / Hospital Santiago,42.846357,-2.667951,1334,1,Europe/Madrid,,,
1323,Naciones Unidas / Salvador Dalí,42.848232,-2.704776,1323,1,Europe/Madrid,,,
1044,Madrid 36,42.856849,-2.659435,1044,1,Europe/Madrid,,,
1153,Castilla / Prado,42.842059,-2.684042,1153,1,Europe/Madrid,,,
1300,Paz,42.844832,-2.668326,1300,1,Europe/Madrid,,,
1019,Europa,42.852111,-2.680455,1019,1,Europe/Madrid,,,
1155,Ramiro Maeztu 6,42.847233,-2.678895,1155,1,Europe/Madrid,,,
1125,Portal Gamarra 46,42.868424,-2.659514,1125,1,Europe/Madrid,,,
1330,Mariturri / Oyón,42.839184,-2.711509,1330,1,Europe/Madrid,,,
1180,Olaguibel 20,42.846220,-2.668880,1180,1,Europe/Madrid,,,
1364,Lermandabidea / Jundiz,42.846571,-2.738264,1364,1,Europe/Madrid,,,
1006,Portal Legutiano / Iparralde,42.854959,-2.666627,1006,1,Europe/Madrid,,,
1166,8 de marzo 13,42.855250,-2.654505,1166,1,Europe/Madrid,,,
1138,Castilla 36,42.842158,-2.684125,1138,1,Europe/Madrid,,,
1301,Paz,42.845029,-2.668275,1301,1,Europe/Madrid,,,
1157,Domingo Beltrán,42.851969,-2.677310,1157,1,Europe/Madrid,,,
1039,Reyes Católicos 1,42.855310,-2.673000,1039,1,Europe/Madrid,,,
1091,Portal Betoño 15,42.859631,-2.659934,1091,1,Europe/Madrid,,,
1351,Bremen/Düsseldorf,42.853339,-2.709234,1351,1,Europe/Madrid,,,
1297,Catedral,42.844870,-2.676875,1297,1,Europe/Madrid,,,
1202,Jundiz / Paduleta,42.832158,-2.734681,1202,1,Europe/Madrid,,,
1230,Portal Elorriaga 6,42.848354,-2.655194,1230,1,Europe/Madrid,,,
1095,José Mardones,42.849489,-2.665759,1095,1,Europe/Madrid,,,
1282,Donostia / Baiona,42.864575,-2.690565,1282,1,Europe/Madrid,,,
1061,Mexico / Residencia,42.853160,-2.687360,1061,1,Europe/Madrid,,,
1313,Larragana / Kapelamendi,42.866845,-2.645695,1313,1,Europe/Madrid,,,
1382,Iruña Veleia / Oyón,42.839655,-2.707066,1382,1,Europe/Madrid,,,
1150,Castilla 107,42.838104,-2.695366,1150,1,Europe/Madrid,,,
1344,Antonio Amat 5,42.841423,-2.644708,1344,1,Europe/Madrid,,,
1245,Antonio Machado / Pasaje,42.857404,-2.700924,1245,1,Europe/Madrid,,,
